company;urn_id
1602 capital partners;24998670
1ct management aps;1281689
21 invest;9215522
2a capital;3849530
3 seas capital partners;97998
333 capital;3991287
3s finance;8528419
414 capital;2189772
52 capital partners;18629389
555 capital advisors;17984311
7 mile advisors;2053738
a. anthony corporate;6354306
a. e. rosica & co;15970594
a1 capital partners;13398161
aalto capital group;
aarayaa advisory services;2122237
abacus advisors group;3916687
abb merchant banking;2880316
abelia consulting;21375400
abg sundal collier holding asa;23776114
abn amro (pre 2009);
abn amro bank nv;
abolon group;12064032
abraxas corporate finance;64148565
absa bank;30166965
aca nexia;1290363
acap advisory;10401244
accelerator group;2470835
accelero capital;2663317
access capital advisors (us);
access corporate finance partners;1526003
access partners;10226747
accuracy;436400
acf investment bank;1225969
achelous partners;15921944
acil tasman consulting;
ackkarrs bruk;
ackrell capital;1830516
acl securities;1321477
acorn capital partners;10292784
acq'cess conseils;
acquest international;1450302
acris / centric advisors;
acta corporate finance;372137
active scouting corporate finance;10088132
acuity advisors;95939
acumen capital finance partners;57225859
acxior corporate finance;3169155
acxit capital partners;6392589
adacta studio associato;
adam smith;28385
adam street advisers corporate finance;21261732
adams harkness;7565
adelaide equity partners;8715008
adeva;9341956
aditus;69675274
adl capital partners;8076908
admedia partners;45819
adna partners;3850361
adrem capital;19904423
advance capital;5082830
advance capital sas;
advanced equities financial corporation;60478690
advest group;8763530
advice dynamics partners;16013580
advicorp;151245
adviso partners;9483333
advisory plus co;
advium corporate finance;72303
advizer k/s;
advolis;5385183
aec advisors;11863781
aec partners;41707
aeg partners;110490
aegis financial;3347921
aequifi;25841040
aequo partners;18383956
aertus finance;3849008
aeternus;704864
aexecutive & fact;
aextensia;26109688
affectio finance;26165864
affentranger associates;291584
affin hwang capital;51928738
aforge degroof;
aga management;35644
agc partners;23179
ageas /;1055408
agi corporate finance;2719198
agicom;19130503
agile equity;71450536
agm partners;18883341
agn shipleys;110480
agora corporate consultants;
ags consulting;27172449
ahorro corporacion financiera sv;38636990
ahv associates;8610797
aib corporate finance;
aigis;78380028
aj securities co;18583207
akin bay company;15628128
akur capital;11325841
al mal capital;57763
alantra;47195
alba partners;14804561
albacore partners;1169493
alberdale & co;21415327
albert e sharp;2974834
albino moran & partners shipbrokers;
alcedo sgr;
alchemy partners;1235225
alegro advisors;21886810
alexander david securities group;
alexander partners;6637213
alfa bank;8368
alfaro, davila y scherer, sc;
alfred berg asset management;23994813
alfred henry corporate finance;2224622
alienor partners;1357933
alira health;11010066
alitum partnership;
alixpartners;7787
allan & co;54366172
allan hall partnerhsip;
allegiance capital corporation;31435
allegro advisors;139353
allegro corporate advisory;139353
allen & company;23173
allenby capital;1867372
allert & co;2695801
alliance advisors;1162572
alliance capital partners;18553688
alliance investment bank;
allier capital;1893986
alltax;4357954
allyum;1682574
alpacar associates;9382593
alpha advisory;38124806
alpha bank;23492
alpha corporate finance;2817587
alpha helix corporate finance;26546896
alta equity partners;27218079
alta group;10473802
altamar advisory partners;38623867
altheo;1886399
altis capital;72030806
altium capital;18848384
altius investment banking;933526
altus capital;13228466
alvarez & marsal holdings;
alvarium investments;122367
am capital;10774875
am capital (africa & middle east capital);
ama capital partners;1700881
amala partners;69756528
amasse capital holdings;
ambassador financial group;
amber infrastructure;377428
ambers & co;97760
ambit;162404
ambrian partners;530469
ambromobiliare;2615539
amethyst corporate finance;64118189
amfinity capital;
amherst partners;1090934
ami capital;19104660
amidas partners;4850331
amies international;4182413
amilton partners;25579309
aminvestment bank berhad;504674
ample capital;13663778
ampton investments;4122127
amr international;1070057
ams corporate finance;1450395
amsterdam pacific securities;
amvest financial group;68900182
anchor advisors;219516
anchors aweigh capital;14045049
andera partners;18569808
andersen fin;
anderson & strudwick;62222
anderson anderson & brown;803012
angle advisors;1157743
anhui gouxin assets valuation company;
ant capital;19101104
antares international partners;80282161
anthem corporate finance;11966708
antika partners;1708361
antonio corbani;
anv partners;2190364
anvil partners;10757957
anz bank;56360867
aon benfield;1687163
aon corporation;923705
ap management;2261731
aperghis & co;5351020
apex corporate finance;1530843
apoyo finanzas corporativas;50899
app securities;3646855
appeal strategy & finance;
aqua corporate advisory co;11207229
aquasia;1104664
aquilo partners;2956946
aquin & cie;
araujo fontes;668096
arbuthnot banking group;
arc associates;6641731
arc securities;34521928
arca sim;
arcadia securities;8815473
arcano partners;137611
arctic securities;445857
arcus financial advisors;15145242
arden partners;490304
arev management;1509941
argen partners;14811151
argent partners;2130601
argonas corporate finance advisors;2359422
argonaut;2991926
argos wityu partners;
argyll advisory;971525
arjil groupe altium (formerly arjil et associes banque);
arkeon finance;88713
arkios italy;2388711
arkwright group;70326960
arlington asset investment corporation;16198451
arlington capital advisors;16231821
arlington group asset management;21166259
arm corporate finance;163252
arma partners;41958
armada capital;2405777
armillary private capital;2889312
arpe group;7165068
arpwood capital;74729443
ars corporate;213816
arsene;1212737
artamir;50555514
arthos corporate finance;6101979
arthur philip;60444479
artica invest;
artion securities;
arva consulting;1543654
as. freeman advisors;
asante partners;138589
ascent partners valuation service;1684958
asgard partners;11129386
ashcombe advisers;21023319
asia plus group holdings pcl;
asian appraisal company;
asian capital (corporate finance);
asiasons wfg financial;
asiavest partners, tcw/yfy;
aspect consumer partners;6421171
aspen equity partners;542252
asset chile;1115957
assiafin consultants;
astaire securities;9547173
ata yatirim menkul kiymetler as;
atfis;1310747
athelera;
athena professionisti e consulenti associati;10528945
athos finance;73072608
atl capital;2603499
atlantic associates;62242
atlas advisors;2234504
atlas capital close brothers;
atlas strategic advisors;21061541
atlas technology group;2174678
atn allgemeine treuhand nord;37717935
atout capital;315517
atr kim eng capital partners;
atreg;1222088
atria capital;137794
atrium partners a/s;
attijari bank;769946
attijariwafa bank;16970
attijariwafa bank (middle east);
audon & trap;
augeo ventures sp. zoo;
augusta & co;853432
aura capital group;
auramet trading;8014389
aurige finance;5000720
auris finance;15243730
austin associates;497274
avalon net worth;5027393
avantgarde capital company;40809427
avendus capital;37198486
aventum partners oy;
avic securities co;44150123
avington financial;6967801
avm private equity;13616043
avondale group;69048211
avondale partners;33190
avvalor corporate solutions srl;
axance finance;49583906
axeco corporate finance bv;
axia ib;2471495
axia ventures group;536008
axiom capital;1362762
axis bank;162609
axis capital;33354
axis commercial finance;250561
axonia partners;505119
axys finance;6121855
az capital;72466
az conseils;18743658
azimut global counseling;
azimutus;36985
aztec (trading corporate ventures, .);
aztec financial services (jersey);
azure capital;45949
b. riley & co;55463025
b. riley securities;11469697
b2a partners;3156797
babcock & brown;9314
bacchus capital advisers;19843519
bahana securities pt;5702794
bailey southwell & co;1642821
bain & company;2114
bainbridge capital;54407
baker tilly international;20909204
ballas capital;1031483
balmer-etienne;3849796
